Start the test ...
Run test script from: 500 to: 400001
CPU threshold = 80
Memory thresold = 80
Start the test ...
Run test script from: 500 to: 400001
CPU threshold = 80
Memory thresold = 80
{'threads': 500, 'errors': 0, 'overloads': 0, 'max': 309.906, 'min': 0.728, 'avg': 124.79684400000001, 'cpu_count': 2, 'cpu_percent': 38.1, 'memory_percent': 9.0, 'disk_io_read': 301888, 'disk_io_write': 129584}
{'threads': 1000, 'errors': 0, 'overloads': 0, 'max': 1185.5230000000001, 'min': 0.624, 'avg': 330.098457, 'cpu_count': 2, 'cpu_percent': 58.5, 'memory_percent': 9.3, 'disk_io_read': 301888, 'disk_io_write': 129584}
{'threads': 1500, 'errors': 0, 'overloads': 0, 'max': 1844.0, 'min': 0.637, 'avg': 698.2969606666666, 'cpu_count': 2, 'cpu_percent': 66.4, 'memory_percent': 9.7, 'disk_io_read': 301888, 'disk_io_write': 12316749}
{'threads': 2000, 'errors': 0, 'overloads': 0, 'max': 2354.491, 'min': 0.621, 'avg': 983.138222, 'cpu_count': 2, 'cpu_percent': 70.5, 'memory_percent': 10.0, 'disk_io_read': 301888, 'disk_io_write': 12316749}
{'threads': 2500, 'errors': 0, 'overloads': 17, 'max': 3292.065, 'min': 0.617, 'avg': 1530.9834391999998, 'cpu_count': 2, 'cpu_percent': 81.7, 'memory_percent': 10.4, 'disk_io_read': 301888, 'disk_io_write': 40063343}
{'threads': 3000, 'errors': 0, 'overloads': 178, 'max': 4041.315, 'min': 0.618, 'avg': 1973.1296746666667, 'cpu_count': 2, 'cpu_percent': 91.5, 'memory_percent': 10.7, 'disk_io_read': 301888, 'disk_io_write': 56530165}
{'threads': 3500, 'errors': 0, 'overloads': 302, 'max': 5239.473, 'min': 0.626, 'avg': 2583.5854202857145, 'cpu_count': 2, 'cpu_percent': 95.3, 'memory_percent': 11.1, 'disk_io_read': 301888, 'disk_io_write': 68070355}
{'threads': 4000, 'errors': 0, 'overloads': 404, 'max': 6003.219999999999, 'min': 0.597, 'avg': 2945.5151615, 'cpu_count': 2, 'cpu_percent': 93.4, 'memory_percent': 11.3, 'disk_io_read': 301888, 'disk_io_write': 68070358}
{'threads': 4500, 'errors': 0, 'overloads': 844, 'max': 8079.995999999999, 'min': 0.6589999999999999, 'avg': 4419.357288888889, 'cpu_count': 2, 'cpu_percent': 96.2, 'memory_percent': 11.8, 'disk_io_read': 301888, 'disk_io_write': 72997896}
{'threads': 5000, 'errors': 0, 'overloads': 658, 'max': 7559.712, 'min': 0.691, 'avg': 3399.7551088, 'cpu_count': 2, 'cpu_percent': 94.0, 'memory_percent': 11.6, 'disk_io_read': 301888, 'disk_io_write': 72997910}
{'threads': 5500, 'errors': 0, 'overloads': 704, 'max': 23372.498, 'min': 0.65, 'avg': 12486.187894727273, 'cpu_count': 2, 'cpu_percent': 99.5, 'memory_percent': 12.1, 'disk_io_read': 301888, 'disk_io_write': 86749655}
{'threads': 6000, 'errors': 0, 'overloads': 767, 'max': 8814.278, 'min': 0.6489999999999999, 'avg': 3942.034729333333, 'cpu_count': 2, 'cpu_percent': 97.2, 'memory_percent': 12.2, 'disk_io_read': 301888, 'disk_io_write': 102058828}
{'threads': 6500, 'errors': 0, 'overloads': 457, 'max': 8560.694, 'min': 0.636, 'avg': 2803.1181689230766, 'cpu_count': 2, 'cpu_percent': 93.2, 'memory_percent': 11.6, 'disk_io_read': 301889, 'disk_io_write': 102318341}
{'threads': 7000, 'errors': 0, 'overloads': 570, 'max': 9868.385, 'min': 0.6759999999999999, 'avg': 3269.371450714286, 'cpu_count': 2, 'cpu_percent': 96.3, 'memory_percent': 11.9, 'disk_io_read': 301889, 'disk_io_write': 102318351}
{'threads': 7500, 'errors': 0, 'overloads': 704, 'max': 11234.696, 'min': 0.662, 'avg': 4272.235969866667, 'cpu_count': 2, 'cpu_percent': 96.0, 'memory_percent': 12.4, 'disk_io_read': 301889, 'disk_io_write': 106860142}
{'threads': 8000, 'errors': 0, 'overloads': 541, 'max': 10272.164999999999, 'min': 0.651, 'avg': 2821.717253375, 'cpu_count': 2, 'cpu_percent': 92.9, 'memory_percent': 12.0, 'disk_io_read': 301889, 'disk_io_write': 107898715}
{'threads': 8500, 'errors': 0, 'overloads': 768, 'max': 12194.0, 'min': 0.666, 'avg': 3791.7750388235295, 'cpu_count': 2, 'cpu_percent': 94.7, 'memory_percent': 12.3, 'disk_io_read': 301889, 'disk_io_write': 126853468}
{'threads': 9000, 'errors': 0, 'overloads': 883, 'max': 13523.896999999999, 'min': 0.6759999999999999, 'avg': 3920.035150333333, 'cpu_count': 2, 'cpu_percent': 94.9, 'memory_percent': 12.3, 'disk_io_read': 301889, 'disk_io_write': 162559993}
{'threads': 9500, 'errors': 0, 'overloads': 542, 'max': 11709.721, 'min': 0.6809999999999999, 'avg': 2838.7688802105267, 'cpu_count': 2, 'cpu_percent': 92.6, 'memory_percent': 12.0, 'disk_io_read': 301889, 'disk_io_write': 162689856}
{'threads': 10000, 'errors': 0, 'overloads': 672, 'max': 15673.693, 'min': 0.6629999999999999, 'avg': 4445.4291686999995, 'cpu_count': 2, 'cpu_percent': 96.3, 'memory_percent': 12.8, 'disk_io_read': 301889, 'disk_io_write': 203372691}
{'threads': 20000, 'errors': 0, 'overloads': 767, 'max': 18074.146, 'min': 0.6719999999999999, 'avg': 2614.4005152499994, 'cpu_count': 2, 'cpu_percent': 95.5, 'memory_percent': 12.8, 'disk_io_read': 301889, 'disk_io_write': 243288596}
{'threads': 30000, 'errors': 0, 'overloads': 733, 'max': 21926.761, 'min': 0.678, 'avg': 2692.7705685666665, 'cpu_count': 2, 'cpu_percent': 99.2, 'memory_percent': 13.3, 'disk_io_read': 301889, 'disk_io_write': 292071603}
{'threads': 40000, 'errors': 0, 'overloads': 724, 'max': 16280.849, 'min': 0.6669999999999999, 'avg': 1740.8740208250001, 'cpu_count': 2, 'cpu_percent': 95.9, 'memory_percent': 13.7, 'disk_io_read': 301889, 'disk_io_write': 324485035}
{'threads': 50000, 'errors': 0, 'overloads': 1275, 'max': 386990.76300000004, 'min': 0.666, 'avg': 18505.24118018, 'cpu_count': 2, 'cpu_percent': 100.0, 'memory_percent': 15.4, 'disk_io_read': 301889, 'disk_io_write': 337057304}
