Start the test ...
Run test script from:  1000  to:  10001  step: 20
CPU threshold =  60
Memory thresold =  60
{'threads': 1000, 'errors': 0, 'overloads': 1, 'max': 1244.896, 'min': 0.622, 'avg': 326.80460600000004, 'cpu_count': 2, 'cpu_percent': 60.7, 'memory_percent': 9.4, 'disk_io_read': 301216, 'disk_io_write': 56116}
{'threads': 1020, 'errors': 0, 'overloads': 23, 'max': 1262.511, 'min': 1.711, 'avg': 482.7088539215686, 'cpu_count': 2, 'cpu_percent': 62.4, 'memory_percent': 9.5, 'disk_io_read': 301216, 'disk_io_write': 56116}
{'threads': 1040, 'errors': 0, 'overloads': 16, 'max': 1216.53, 'min': 0.808, 'avg': 343.4147144230769, 'cpu_count': 2, 'cpu_percent': 63.0, 'memory_percent': 9.5, 'disk_io_read': 301216, 'disk_io_write': 56123}
{'threads': 1060, 'errors': 0, 'overloads': 16, 'max': 1384.58, 'min': 0.75, 'avg': 401.7891584905661, 'cpu_count': 2, 'cpu_percent': 63.8, 'memory_percent': 9.5, 'disk_io_read': 301216, 'disk_io_write': 56123}
{'threads': 1080, 'errors': 0, 'overloads': 13, 'max': 1357.2, 'min': 0.833, 'avg': 454.9224675925926, 'cpu_count': 2, 'cpu_percent': 62.3, 'memory_percent': 9.5, 'disk_io_read': 301216, 'disk_io_write': 56125}
{'threads': 1100, 'errors': 0, 'overloads': 10, 'max': 1367.799, 'min': 0.884, 'avg': 446.54827727272726, 'cpu_count': 2, 'cpu_percent': 61.9, 'memory_percent': 9.5, 'disk_io_read': 301216, 'disk_io_write': 1178897}
{'threads': 1120, 'errors': 0, 'overloads': 1, 'max': 1285.681, 'min': 0.617, 'avg': 336.6616892857143, 'cpu_count': 2, 'cpu_percent': 60.8, 'memory_percent': 9.5, 'disk_io_read': 301216, 'disk_io_write': 1178897}
{'threads': 1140, 'errors': 0, 'overloads': 13, 'max': 1363.5330000000001, 'min': 0.7739999999999999, 'avg': 450.21805789473683, 'cpu_count': 2, 'cpu_percent': 62.0, 'memory_percent': 9.6, 'disk_io_read': 301216, 'disk_io_write': 1178907}
{'threads': 1160, 'errors': 0, 'overloads': 28, 'max': 1449.592, 'min': 1.0070000000000001, 'avg': 500.0740086206897, 'cpu_count': 2, 'cpu_percent': 64.1, 'memory_percent': 9.6, 'disk_io_read': 301216, 'disk_io_write': 1178909}
{'threads': 1180, 'errors': 0, 'overloads': 18, 'max': 1502.954, 'min': 0.865, 'avg': 540.1578906779661, 'cpu_count': 2, 'cpu_percent': 62.0, 'memory_percent': 9.6, 'disk_io_read': 301216, 'disk_io_write': 1178909}
{'threads': 1200, 'errors': 0, 'overloads': 348, 'max': 1809.427, 'min': 1.681, 'avg': 821.6845716666668, 'cpu_count': 2, 'cpu_percent': 99.0, 'memory_percent': 9.8, 'disk_io_read': 301216, 'disk_io_write': 1178917}
